date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:41:57	60461/60461	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2019:03:47%20GMT	https://html.themerange.net/merit/merit/index-1.html	C:/Users/panka/OneDrive/Documents/Dr.%20Rahul%20sharma/html.themerange.net/merit/merit/index-1.html	(from )
23:41:57	708/708	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Sep%202023%2018:12:16%20GMT	https://html.themerange.net/robots.txt		(from )
23:41:58	140967/140967	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Mar%202023%2019:07:29%20GMT	https://html.themerange.net/merit/merit/assets/css/bootstrap.css	C:/Users/panka/OneDrive/Documents/Dr.%20Rahul%20sharma/html.themerange.net/merit/merit/assets/css/bootstrap.css	(from https://html.themerange.net/merit/merit/index-1.html)
23:41:58	24888/24888	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Mar%202023%2019:07:41%20GMT	https://html.themerange.net/merit/merit/assets/css/responsive.css	C:/Users/panka/OneDrive/Documents/Dr.%20Rahul%20sharma/html.themerange.net/merit/merit/assets/css/responsive.css	(from https://html.themerange.net/merit/merit/index-1.html)
23:41:58	291144/291144	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Mar%202023%2019:07:44%20GMT	https://html.themerange.net/merit/merit/assets/css/style.css	C:/Users/panka/OneDrive/Documents/Dr.%20Rahul%20sharma/html.themerange.net/merit/merit/assets/css/style.css	(from https://html.themerange.net/merit/merit/index-1.html)
23:41:59	6565/6565	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Mar%202023%2019:07:30%20GMT	https://html.themerange.net/merit/merit/assets/css/color-switcher-design.css	C:/Users/panka/OneDrive/Documents/Dr.%20Rahul%20sharma/html.themerange.net/merit/merit/assets/css/color-switcher-design.css	(from https://html.themerange.net/merit/merit/index-1.html)
23:41:59	113/113	---M--	200	added ('OK')	text/css	date:Mon,%2006%20Mar%202023%2019:11:39%20GMT	https://html.themerange.net/merit/merit/assets/css/color-themes/default-color.css	C:/Users/panka/OneDrive/Documents/Dr.%20Rahul%20sharma/html.themerange.net/merit/merit/assets/css/color-themes/default-color.css	(from https://html.themerange.net/merit/merit/index-1.html)
23:41:59	2482/2482	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Mar%202023%2019:08:04%20GMT	https://html.themerange.net/merit/merit/assets/images/favicon.png	C:/Users/panka/OneDrive/Documents/Dr.%20Rahul%20sharma/html.themerange.net/merit/merit/assets/images/favicon.png	(from https://html.themerange.net/merit/merit/index-1.html)
23:42:00	64777/64777	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2019:04:00%20GMT	https://html.themerange.net/merit/merit/index.html	C:/Users/panka/OneDrive/Documents/Dr.%20Rahul%20sharma/html.themerange.net/merit/merit/index.html	(from https://html.themerange.net/merit/merit/index-1.html)
23:42:00	2980/2980	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Mar%202023%2019:08:06%20GMT	https://html.themerange.net/merit/merit/assets/images/logo.png	C:/Users/panka/OneDrive/Documents/Dr.%20Rahul%20sharma/html.themerange.net/merit/merit/assets/images/logo.png	(from https://html.themerange.net/merit/merit/index-1.html)
